occupational_category,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Instructional,208,209,219,223,231,232,232,244,243,239,233
Research,0,0,0,0,2,2,1,1,1,1,1
Public Service,0,0,0,0,0,0,0,0,0,0,0
Librarians Curators And Archivists,9,5,4,5,12,12,10,10,11,10,11
Student And Academic Affairs And Other Education Services,42,31,63,41,34,29,30,30,29,29,30
Management,63,53,34,59,58,71,61,70,71,70,68
Business And Financial Operations,17,17,17,23,14,13,15,35,40,40,47
Computer Engineering And Science,31,25,34,31,24,23,26,28,32,28,30
Community Service Legal Arts And Media,51,46,49,53,55,51,52,61,63,69,68
Healthcare,4,3,3,3,3,3,3,4,4,5,6
Other,165,139,176,183,224,214,252,194,179,182,179
